"AnimalID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6156,1,4,1,1,1,4,4,1,2,4,4,4,4,4,4,4,4,4,4
6157,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6158,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6159,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6163,1,2,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,1,4
6165,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6166,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6167,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6168,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6170,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6171,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6172,1,1,1,4,4,4,1,4,2,4,2,1,4,2,4,4,4,4,4
6173,1,1,1,4,4,4,4,4,1,2,2,1,1,1,1,1,1,4,1
6174,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6177,1,1,2,2,4,4,4,1,2,2,1,1,2,2,2,1,1,1,1
6178,1,4,4,4,4,4,4,4,3,4,2,2,4,2,1,1,4,4,4
6180,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6181,1,4,4,2,1,4,4,2,1,2,1,4,4,2,1,1,1,4,4
6182,1,4,1,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,4
6184,1,1,4,1,4,1,4,1,2,2,1,4,2,2,2,2,2,1,2
6186,1,4,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6189,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6192,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6193,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6195,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6197,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6200,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6203,1,4,1,1,1,1,4,1,1,1,1,1,4,4,4,4,4,4,4
6204,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6211,1,1,4,1,1,1,1,1,2,1,1,2,2,1,1,2,4,1,1
6212,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6218,1,4,4,4,4,4,4,1,1,4,2,4,4,4,4,4,4,4,4
6220,1,1,4,2,4,1,4,1,2,2,4,4,4,4,4,4,4,4,4
6221,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6223,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6224,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
