"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
8131,"C GULF","Other","East",2002,-0.256926309047291,"F",11,11,1,2,11,4,5,11,10,10,9,10,10,9,10,10,9,10,10
8133,"C GULF","Other","East",2002,0.083018274230591,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8135,"C GULF","Other","East",2002,0.228708809921112,"F",11,11,1,11,11,4,11,7,9,9,9,10,11,9,10,9,11,10,9
8147,"C GULF","Other","East",2002,-0.839688451809376,"F",11,11,1,11,3,4,11,7,9,11,11,11,11,11,11,11,11,11,11
8149,"C GULF","Other","East",2002,-0.693997916118855,"F",11,11,1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8151,"C GULF","Other","East",2002,-1.17963303508726,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8155,"C GULF","Other","East",2002,-0.402616844737813,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8158,"C GULF","Other","East",2002,-1.03394249939674,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8159,"C GULF","Other","East",2002,-0.645434404222014,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8162,"C GULF","Other","East",2002,1.2971060716516,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8163,"C GULF","Other","East",2002,-0.111235773356771,"F",11,11,1,11,11,11,11,7,9,10,10,9,10,10,10,9,10,9,11
8165,"C GULF","Other","East",2002,-0.402616844737813,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8166,"C GULF","Other","East",2002,-0.888251963706216,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8167,"C GULF","Other","East",2002,-0.645434404222014,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8168,"C GULF","Other","East",2002,-0.645434404222014,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8169,"C GULF","Other","East",2002,0.665780416992675,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8171,"C GULF","Other","East",2002,0.0344547623337508,"F",11,11,1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8172,"C GULF","Other","East",2002,0.0344547623337508,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8174,"C GULF","Other","East",2002,-0.451180356634653,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8175,"C GULF","Other","East",2002,0.131581786127431,"F",11,11,1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8177,"C GULF","Other","East",2002,1.15141553596108,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8178,"C GULF","Other","East",2002,-0.111235773356771,"F",11,11,1,2,11,4,5,7,9,11,9,9,9,9,9,9,11,11,11
8179,"C GULF","Other","East",2002,0.811470952683196,"F",11,11,1,2,11,11,5,7,10,11,10,11,9,10,10,10,10,11,9
8181,"C GULF","Other","East",2002,0.0344547623337508,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8182,"C GULF","Other","East",2002,0.471526369405314,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8184,"C GULF","Other","East",2002,0.374399345611633,"F",11,11,1,11,3,4,5,11,11,10,10,10,10,10,9,10,9,11,10
8185,"C GULF","Other","East",2002,2.21981279769157,"F",11,11,1,2,11,11,5,11,11,11,11,11,11,11,11,11,11,11,11
8186,"C GULF","Other","East",2002,-0.256926309047291,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8187,"C GULF","Other","East",2002,-0.354053332840972,"F",11,11,1,11,3,4,5,7,9,11,11,9,9,10,9,9,10,9,9
8191,"C GULF","Other","East",2002,-0.499743868531493,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8192,"C GULF","Other","East",2002,0.471526369405314,"F",11,11,1,2,3,4,5,7,11,11,11,11,11,11,11,11,11,11,11
8194,"C GULF","Other","East",2002,-0.548307380428334,"F",11,11,1,2,3,11,11,11,11,11,10,10,10,9,10,10,9,9,10
8196,"C GULF","Other","East",2002,-0.645434404222014,"F",11,11,1,2,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11
8197,"C GULF","Other","East",2002,-0.354053332840972,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8201,"C GULF","Other","East",2002,-0.111235773356771,"F",11,11,1,2,3,4,5,11,11,11,11,11,11,11,11,11,11,11,11
8204,"C GULF","Other","East",2002,-0.596870892325174,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8205,"C GULF","Other","East",2002,0.228708809921112,"F",11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8216,"C GULF","Other","East",2002,0.228708809921112,"F",11,11,1,11,11,4,5,8,10,10,10,10,10,10,10,10,9,11,10
8218,"C GULF","Other","East",2002,-1.51957761836514,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8220,"C GULF","Other","East",2002,-0.888251963706216,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8222,"C GULF","Other","East",2002,-0.111235773356771,"F",11,11,1,11,11,4,5,7,11,9,10,9,9,9,10,9,10,10,10
8231,"C GULF","Other","East",2002,0.762907440786356,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8232,"C GULF","Other","East",2002,-0.548307380428334,"F",11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8847,"E ALEU","Other","East",2003,-0.305489820944132,"F",11,11,11,1,2,11,11,5,7,10,9,9,10,10,10,10,11,11,11
8848,"E ALEU","Other","East",2003,0.374399345611633,"F",11,11,11,1,2,3,4,5,8,9,10,10,9,10,10,10,9,11,11
8850,"E ALEU","Other","East",2003,0.471526369405314,"F",11,11,11,1,2,11,11,11,11,11,11,9,11,11,11,11,11,11,11
8853,"E ALEU","Other","East",2003,-0.985378987499896,"F",11,11,11,1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11
8855,"E ALEU","Other","East",2003,0.131581786127431,"F",11,11,11,1,2,11,4,5,7,10,9,10,10,10,10,10,10,11,11
8859,"E ALEU","Other","East",2003,1.0542885121674,"F",11,11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8860,"E ALEU","Other","East",2003,0.860034464580037,"F",11,11,11,1,2,3,4,5,7,9,9,10,10,11,10,10,10,10,11
8861,"E ALEU","Other","East",2003,1.00572500027056,"F",11,11,11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8863,"E ALEU","Other","East",2003,1.24854255975476,"F",11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8865,"E ALEU","Other","East",2003,0.180145298024271,"F",11,11,11,1,2,11,4,5,7,9,9,10,9,10,10,10,10,10,9
8869,"E ALEU","Other","East",2003,1.24854255975476,"F",11,11,11,1,2,3,4,11,11,11,11,11,11,11,11,11,11,11,11
