Complex,Site,RCA,CH_93,CH_93H,CH_15,CH_15H,LAT,LON,Region,Reg_no,Rookery
UGAMAK,UGAMAK/UGAMAK BAY/B,7,1,,1,,54.214,-164.786,E ALEU,9,1
AIKTAK,AIKTAK,7,,,,1,54.183,-164.853,E ALEU,9,0
AIKTAK,AIKTAK/S,7,,,,1,54.18,-164.829,E ALEU,9,0
TIGALDA/ROCKS NE,TIGALDA/ROCKS NE,7,,1,,1,54.16,-164.983,E ALEU,9,0
TIGALDA/ROCKS NE,TIGALDA/ROCKS NE/B,7,,1,,1,54.152,-164.953,E ALEU,9,0
AKUN/BILLINGS HEAD,AKUN/BILLINGS HEAD,6,1,,1,,54.294,-165.534,E ALEU,9,1
AKUN/BILLINGS HEAD,AKUN/BILLINGS HEAD/B,6,1,,1,,54.293,-165.529,E ALEU,9,1
AKUTAN/REEF-LAVA,AKUTAN/REEF-LAVA,6,,1,,1,54.135,-166.103,E ALEU,9,0
AKUTAN/REEF-LAVA,AKUTAN/REEF-LAVA/B,6,,1,,1,54.152,-166.092,E ALEU,9,0
AKUTAN/CAPE MORGAN,AKUTAN/CAPE MORGAN,6,1,,1,,54.056,-166.002,E ALEU,9,1
AKUTAN/CAPE MORGAN,AKUTAN/CAPE MORGAN/B,6,1,,1,,54.047,-166.08,E ALEU,9,1
UNALASKA/BISHOP POINT,UNALASKA/BISHOP POINT,6,,,,1,53.973,-166.958,E ALEU,9,0
UNALASKA/BISHOP POINT,UNALASKA/BISHOP POINT/B,6,,,,1,53.973,-166.956,E ALEU,9,0
CHUGINADAK,CHUGINADAK,6,,1,,1,52.778,-169.698,C ALEU,10,0
CHUGINADAK,CHUGINADAK/B,6,,1,,1,52.777,-169.737,C ALEU,10,0
HERBERT,HERBERT,5,,,,,52.715,-170.08,C ALEU,10,0
HERBERT,HERBERT/B,5,,,,,52.723,-170.188,C ALEU,10,0
HERBERT,HERBERT/C,5,,,,,52.751,-170.191,C ALEU,10,0
SEGUAM/TURF POINT,SEGUAM/FINCH POINT,5,,1,,1,52.388,-172.405,C ALEU,10,0
AMLIA/EAST CAPE,AMLIA/EAST CAPE,5,,1,1,,52.095,-172.964,C ALEU,10,1
AMLIA/EAST CAPE,AMLIA/EAST CAPE/B,5,,1,1,,52.1072,-173.1383,C ALEU,10,1
AMLIA/EAST CAPE,AMLIA/EAST CAPE/C,5,,1,1,,52.1076,-173.1337,C ALEU,10,1
ATKA/NORTH CAPE,ATKA/SE OF NORTH CAPE,4,,1,,1,52.4175,-174.1797,C ALEU,10,0
ATKA/CAPE KOROVIN,ATKA/CAPE KOROVIN,4,,,,,52.313,-174.457,C ALEU,10,0
ATKA/CAPE KOROVIN,ATKA/CAPE KOROVIN/B,4,,,,,52.321,-174.458,C ALEU,10,0
SALT,SALT/SE,4,,,,1,52.161,-174.622,C ALEU,10,0
GREAT SITKIN,GREAT SITKIN,4,,1,,1,52.1,-176.175,C ALEU,10,0
GREAT SITKIN,GREAT SITKIN/B,4,,1,,1,52.11,-176.117,C ALEU,10,0
GREAT SITKIN,GREAT SITKIN/C,4,,1,,1,52.1058,-176.0834,C ALEU,10,0
TANAGA/BUMPY POINT,TANAGA/BUMPY POINT,3,,1,,1,51.917,-177.975,C ALEU,10,0
TANAGA/BUMPY POINT,TANAGA/BUMPY POINT/B,3,,1,,1,51.917,-177.952,C ALEU,10,0
SEMISOPOCHNOI/PETREL,SEMISOPOCHNOI/PETREL,2,1,,,1,52.023,179.615,C ALEU,10,0
SEMISOPOCHNOI/PETREL,SEMISOPOCHNOI/PETREL/B,2,1,,,1,52.025,179.65,C ALEU,10,0
AMCHITKA/EAST CAPE,AMCHITKA/EAST CAPE,2,1,,,1,51.371,179.466,C ALEU,10,0
AMCHITKA/EAST CAPE,AMCHITKA/EAST CAPE/B,2,1,,,1,51.367,179.45,C ALEU,10,0
KISKA/GERTRUDE-BUKHTI,KISKA/GERTRUDE-BUKHTI,2,,,,,51.907,177.475,C ALEU,10,0
KISKA/GERTRUDE-BUKHTI,KISKA/GERTRUDE-BUKHTIA/B,2,,,,,51.918,177.442,C ALEU,10,0
KISKA/SOBAKA-VEGA,KISKA/SOBAKA-VEGA,2,,1,,1,51.825,177.317,C ALEU,10,0
KISKA/SOBAKA-VEGA,KISKA/SOBAKA-VEGA/B,2,,1,,1,51.808,177.342,C ALEU,10,0
KISKA/CAPE ST STEPHEN,KISKA/CAPE ST STEPHEN,2,1,,1,,51.89467,177.200667,C ALEU,10,1
KISKA/CAPE ST STEPHEN,KISKA/CAPE ST STEPHEN/B,2,1,,1,,51.875,177.212,C ALEU,10,1
KISKA/CAPE ST STEPHEN,KISKA/CAPE ST STEPHEN/C,2,1,,1,,51.892,177.2,C ALEU,10,1
KISKA/CAPE ST STEPHEN,KISKA/CAPE ST STEPHEN/D,2,1,,1,,51.89583,177.20383,C ALEU,10,1
KISKA/LIEF COVE,KISKA/LIEF COVE,2,1,,1,,51.953,177.34,C ALEU,10,1
KISKA/LIEF COVE,KISKA/LIEF COVE/B,2,1,,1,,51.954,177.342,C ALEU,10,1
BULDIR,BULDIR/ROOKERY,1,1,,1,,52.338,175.901,W ALEU,11,1
BULDIR,BULDIR/ROOKERY/B,1,1,,1,,52.34,175.898,W ALEU,11,1
ALAID,ALAID,1,,1,,1,52.775,173.858,W ALEU,11,0
ALAID,ALAID/B,1,,1,,1,52.769,173.887,W ALEU,11,0
ALAID,ALAID/C,1,,1,,1,52.75,173.942,W ALEU,11,0
AGATTU,AGATTU/CAPE SABAK,1,1,,1,,52.375,173.722,W ALEU,11,1
AGATTU,AGATTU/CAPE SABAK/B,1,1,,1,,52.363,173.696,W ALEU,11,1
AGATTU,AGATTU/CAPE SABAK/C,1,1,,1,,52.363,173.69,W ALEU,11,1
AGATTU,AGATTU/CAPE SABAK/D,1,,,,,52.3496,173.652,W ALEU,11,0
ATTU,ATTU/CAPE WRANGELL,1,1,,1,,52.91,172.465,W ALEU,11,1
ATTU,ATTU/CAPE WRANGELL/B,1,1,,1,,52.923,172.453,W ALEU,11,1
AIALIK CAPE,NO NAME,10,,,,,59.72,-149.511,E GULF,6,0
AIALIK CAPE,NO NAME/B,10,,,,,59.717,-149.507,E GULF,6,0
THE TWINS,THE TWINS,6,,,,,58.59667,-160.3075,E ALEU (BERING),9,0
THE TWINS,THE TWINS/B,6,,,,,58.59,-160.317,E ALEU (BERING),9,0
SITUK,SITUK,11,,,,,59.424,-139.537,SE AK,5,0
SITUK,SITUK/B,11,,,,,59.389,-139.406,SE AK,5,0
FOX,FOX,10,,,,,60.164,-144.604,E GULF,6,0
PILOT ROCK,PILOT ROCK,10,,,,,59.7421,-149.4705,E GULF,6,0
