AnimalID,Brand,SiteName,Beach,Year,Month,Day,Sex,AdjustedSex,Age,Mass_kg,StandardLength_cm,AxillaryGirth_cm,FlipperLength_cm,Brand_lead,date,Region
15495,X629,SUGARLOAF,NA,2014,7,6,M,NA,P,31.60,114.0,74.0,NA,X,2014-07-06,C GULF
15496,X630,SUGARLOAF,NA,2014,7,6,M,NA,P,33.00,109.0,77.0,NA,X,2014-07-06,C GULF
15497,X631,SUGARLOAF,NA,2014,7,6,F,NA,P,31.20,109.0,76.0,NA,X,2014-07-06,C GULF
15498,X632,SUGARLOAF,NA,2014,7,6,M,NA,P,34.00,111.0,76.0,NA,X,2014-07-06,C GULF
15499,X633,SUGARLOAF,NA,2014,7,6,F,NA,P,27.80,107.0,68.0,NA,X,2014-07-06,C GULF
15500,X634,SUGARLOAF,NA,2014,7,6,F,NA,P,28.40,100.0,77.0,NA,X,2014-07-06,C GULF
15501,X635,SUGARLOAF,NA,2014,7,6,F,NA,P,33.00,109.0,81.0,NA,X,2014-07-06,C GULF
15502,X636,SUGARLOAF,NA,2014,7,6,M,NA,P,27.40,96.0,74.0,NA,X,2014-07-06,C GULF
15503,X637,SUGARLOAF,NA,2014,7,6,F,NA,P,30.20,106.0,77.0,NA,X,2014-07-06,C GULF
15504,X638,SUGARLOAF,NA,2014,7,6,F,NA,P,33.60,110.0,75.0,NA,X,2014-07-06,C GULF
15505,X639,SUGARLOAF,NA,2014,7,6,M,NA,P,38.60,114.0,73.0,NA,X,2014-07-06,C GULF
15506,X640,SUGARLOAF,NA,2014,7,6,F,NA,P,25.60,99.0,69.0,NA,X,2014-07-06,C GULF
15507,X641,SUGARLOAF,NA,2014,7,6,F,NA,P,25.20,94.0,70.0,NA,X,2014-07-06,C GULF
15508,X642,SUGARLOAF,NA,2014,7,6,M,NA,P,35.40,116.0,76.0,NA,X,2014-07-06,C GULF
15509,X643,SUGARLOAF,NA,2014,7,6,M,NA,P,31.00,107.0,77.0,NA,X,2014-07-06,C GULF
15510,X644,SUGARLOAF,NA,2014,7,6,M,NA,P,40.60,115.0,87.0,NA,X,2014-07-06,C GULF
15511,X645,SUGARLOAF,NA,2014,7,6,M,NA,P,35.00,114.0,80.0,NA,X,2014-07-06,C GULF
15512,X646,SUGARLOAF,NA,2014,7,6,F,NA,P,28.00,105.0,73.0,NA,X,2014-07-06,C GULF
15513,X647,SUGARLOAF,NA,2014,7,6,M,NA,P,40.00,119.0,79.0,NA,X,2014-07-06,C GULF
15514,X648,SUGARLOAF,NA,2014,7,6,F,NA,P,33.40,114.0,77.0,NA,X,2014-07-06,C GULF
15515,X649,SUGARLOAF,NA,2014,7,6,M,NA,P,30.60,107.0,75.0,NA,X,2014-07-06,C GULF
15516,X650,SUGARLOAF,NA,2014,7,6,M,NA,P,38.20,108.0,85.0,NA,X,2014-07-06,C GULF
15673,~107,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,36.20,108.0,78.0,NA,~,2015-06-24,W ALEU
15674,~108,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,29.20,108.0,75.0,NA,~,2015-06-24,W ALEU
15675,~109,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,28.40,107.0,73.5,NA,~,2015-06-24,W ALEU
15676,~110,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,23.00,92.0,67.0,NA,~,2015-06-24,W ALEU
15677,~111,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,36.20,103.0,84.0,NA,~,2015-06-24,W ALEU
15678,~112,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,30.60,104.0,74.0,NA,~,2015-06-24,W ALEU
15679,~113,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,29.20,103.0,78.5,NA,~,2015-06-24,W ALEU
15680,~114,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,28.80,101.0,70.0,NA,~,2015-06-24,W ALEU
15681,~115,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,29.60,105.0,73.0,NA,~,2015-06-24,W ALEU
15682,~116,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,38.60,105.0,84.5,NA,~,2015-06-24,W ALEU
15683,~117,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,24.40,100.0,68.0,NA,~,2015-06-24,W ALEU
15684,~118,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,26.80,103.0,73.0,NA,~,2015-06-24,W ALEU
15685,~119,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,24.80,102.0,68.0,NA,~,2015-06-24,W ALEU
15686,~120,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,24.00,102.0,80.0,NA,~,2015-06-24,W ALEU
15687,~121,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,27.60,103.0,76.0,NA,~,2015-06-24,W ALEU
15688,~122,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,27.60,106.0,69.0,NA,~,2015-06-24,W ALEU
15689,~123,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,23.60,99.0,73.0,NA,~,2015-06-24,W ALEU
15690,~124,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,32.60,108.0,76.0,NA,~,2015-06-24,W ALEU
15691,~125,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,25.00,97.0,76.0,NA,~,2015-06-24,W ALEU
15692,~126,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,25.20,105.0,69.0,NA,~,2015-06-24,W ALEU
15693,~127,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,28.00,106.0,72.0,NA,~,2015-06-24,W ALEU
15694,~128,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,23.00,93.0,74.0,NA,~,2015-06-24,W ALEU
15695,~129,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,26.40,107.0,69.0,NA,~,2015-06-24,W ALEU
15696,~130,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,31.60,111.5,76.0,NA,~,2015-06-24,W ALEU
15697,~131,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,32.20,107.0,74.0,NA,~,2015-06-24,W ALEU
15698,~132,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,29.80,105.0,77.0,NA,~,2015-06-24,W ALEU
15699,~133,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,38.60,112.0,81.0,NA,~,2015-06-24,W ALEU
15700,~134,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,32.60,111.0,79.0,NA,~,2015-06-24,W ALEU
15701,~135,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,28.00,103.0,72.0,NA,~,2015-06-24,W ALEU
15702,~136,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,22.40,97.0,66.0,NA,~,2015-06-24,W ALEU
15703,~137,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,25.20,105.0,69.0,NA,~,2015-06-24,W ALEU
15704,~138,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,33.80,111.0,78.0,NA,~,2015-06-24,W ALEU
15705,~139,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,37.80,113.0,82.0,NA,~,2015-06-24,W ALEU
15706,~140,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,26.40,97.0,71.0,NA,~,2015-06-24,W ALEU
15707,~141,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,39.00,116.0,80.0,NA,~,2015-06-24,W ALEU
15708,~142,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,23.60,100.0,67.0,NA,~,2015-06-24,W ALEU
15709,~143,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,29.20,105.0,75.0,NA,~,2015-06-24,W ALEU
15710,~144,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,31.40,111.0,75.0,NA,~,2015-06-24,W ALEU
15711,~145,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,31.60,104.0,78.0,NA,~,2015-06-24,W ALEU
15712,~146,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,29.20,106.0,74.0,NA,~,2015-06-24,W ALEU
15713,~147,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,28.20,109.0,76.0,NA,~,2015-06-24,W ALEU
15714,~148,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,27.60,107.0,70.0,NA,~,2015-06-24,W ALEU
15715,~149,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,27.80,110.0,75.0,NA,~,2015-06-24,W ALEU
15716,~150,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,23.40,97.0,68.0,NA,~,2015-06-24,W ALEU
15717,~151,AGATTU/GILLON POINT,NA,2015,6,24,F,NA,P,24.80,105.0,65.0,NA,~,2015-06-24,W ALEU
15718,~152,AGATTU/GILLON POINT,NA,2015,6,24,M,NA,P,32.40,111.0,75.0,NA,~,2015-06-24,W ALEU
